Date,BAB,MKT,SMB,HML,UMD
11/18/1996,0.00,0.00,0.00,0.00,0.00
11/19/1996,0.00,0.00,0.00,0.00,0.00
11/20/1996,0.01,0.00,0.00,0.00,0.00
11/21/1996,0.00,0.00,0.00,0.00,0.00
11/22/1996,0.00,0.01,0.00,0.00,0.00
11/25/1996,0.00,0.00,0.00,0.00,0.00
11/26/1996,0.00,0.00,0.00,0.00,0.00
11/27/1996,0.00,0.00,0.00,0.00,0.00
11/28/1996,0.00,0.00,0.00,0.00,0.00
11/29/1996,0.00,0.00,0.00,0.00,0.00
12/02/1996,0.00,0.00,0.00,0.00,0.00
12/03/1996,0.00,-0.01,0.00,0.00,0.00
12/04/1996,0.00,0.00,0.00,0.00,0.00
12/05/1996,0.00,0.00,0.00,0.00,0.00
12/06/1996,0.00,-0.01,0.00,0.00,0.00
12/09/1996,0.00,0.01,0.00,0.00,0.00
12/10/1996,0.00,0.00,0.00,0.00,0.00
12/11/1996,0.00,-0.01,0.00,0.00,0.00
12/12/1996,0.00,-0.01,0.01,0.00,0.00
12/13/1996,0.00,-0.01,0.00,0.00,0.00
12/16/1996,0.00,0.00,0.00,0.00,0.00
12/17/1996,0.00,0.00,0.00,0.00,0.00
12/18/1996,0.00,0.00,0.00,0.00,0.00
12/19/1996,0.00,0.00,-0.01,0.00,0.00
12/20/1996,0.00,0.01,0.00,0.00,0.00
12/23/1996,0.00,0.00,0.00,0.00,0.00
12/24/1996,0.00,0.00,0.00,0.00,0.00
12/25/1996,0.00,0.00,0.00,0.00,0.00
12/26/1996,0.00,0.00,0.00,0.00,0.00
12/27/1996,0.00,0.00,0.00,0.00,0.00
12/30/1996,0.00,0.00,0.00,0.00,0.00
12/31/1996,0.01,0.00,0.01,0.00,0.00
01/01/1997,0.00,0.00,0.00,0.00,0.00
01/02/1997,0.00,-0.01,0.00,0.00,-0.01
01/03/1997,0.00,0.01,0.00,0.00,0.00
01/06/1997,0.00,0.00,0.00,0.00,0.00
01/07/1997,0.01,0.00,0.00,0.00,0.00
01/08/1997,0.00,0.00,0.00,0.00,0.00
01/09/1997,0.00,0.00,0.00,0.00,0.00
01/10/1997,0.00,-0.01,0.00,0.00,0.00
01/13/1997,-0.01,0.01,0.00,0.00,0.00
01/14/1997,0.00,0.01,0.00,0.00,0.00
01/15/1997,0.00,0.00,0.00,0.00,0.00
01/16/1997,0.00,0.00,0.00,0.00,0.00
01/17/1997,0.00,0.00,0.00,0.00,0.00
01/20/1997,0.00,0.00,0.00,0.00,0.00
01/21/1997,0.00,0.00,0.00,0.00,0.00
01/22/1997,-0.01,0.00,0.00,0.00,0.00
01/23/1997,0.00,-0.01,0.00,0.00,0.00
01/24/1997,0.00,-0.01,0.00,0.00,0.00
